id,platform,title,content,tickers,submitted_at,keywords
63,CNN Business,Nexstar says it has acquired Tegna as state AGs push to block the merger,"",{},2026-03-22 20:10:00.138435,"{nexstar,says,acquired,tegna,state,ags,push,block,merger}"
64,CNN Business,Trump’s promised ‘manufacturing boom’ couldn’t save these Whirlpool jobs,"",{},2026-03-22 20:10:00.138435,"{trump,promised,manufacturing,boom,couldn,save,these,whirlpool,jobs}"
65,CNN Business,Oil and natural gas prices are volatile following strikes on Middle East energy hubs,"",{},2026-03-22 20:10:00.138435,"{oil,natural,gas,prices,volatile,following,strikes,middle,east,energy}"
66,CNN Business,Epstein ties present potential hurdle for Trump’s Fed chair nominee,"",{},2026-03-22 20:10:00.138435,"{epstein,ties,present,potential,hurdle,trump,fed,chair,nominee}"
67,CNN Business,Mortgage rates climb to highest level in more than 3 months as Iran war reignites inflation fears,"",{},2026-03-22 20:10:00.138435,"{mortgage,rates,climb,highest,level,more,than,months,iran,war}"
68,CNN Business,What strikes on the world’s largest natural gas sites could do to the global economy,"",{},2026-03-22 20:10:00.138435,"{what,strikes,world,largest,natural,gas,sites,could,global,economy}"
69,CNN Business,The most important economic question about Iran is one Trump can’t answer,"",{},2026-03-22 20:10:00.138435,"{most,important,economic,question,about,iran,one,trump,can,answer}"
70,CNN Business,Even Jerome Powell doesn’t know what’s going on with the economy,"",{},2026-03-22 20:10:00.138435,"{even,jerome,powell,doesn,know,what,going,economy}"
71,CNN Business,Compass drops lawsuit against Zillow over how some homes are marketed online,"",{},2026-03-22 20:10:00.138435,"{compass,drops,lawsuit,against,zillow,over,how,some,homes,marketed}"
72,CNN Business,Mortgage rates climb to 6.11% as Iran war roils markets,"",{},2026-03-22 20:10:00.138435,"{mortgage,rates,climb,iran,war,roils,markets}"
73,CNN Business,How the Strategic Petroleum Reserve works and why the US is tapping it now,"",{},2026-03-22 20:10:00.138435,"{how,strategic,petroleum,reserve,works,why,tapping,now}"
74,Yahoo Finance 台灣,法人千億銀彈進場 正2爆量跟台股一起飛,"",{},2026-08-06 00:53:19.909658,{}
75,Yahoo Finance 台灣,單季賺逾4個股本 信驊重金入股M31,"",{},2026-08-06 00:53:19.909658,{}
76,Yahoo Finance 台灣,交屋潮碰上青安3.0 營建股要起飛？,"",{},2026-08-06 00:53:19.909658,{}
77,Yahoo Finance 台灣,外資7月搬走280億美元 央行出手穩匯,"",{},2026-08-06 00:53:19.909658,{}
78,Yahoo Finance 台灣,散熱龍頭大發現金股利 每股20.88元,"",{},2026-08-06 00:53:19.909658,{}
79,Yahoo Finance 台灣,同期第四！外資7月淨匯出930億元 累計賣超1.4兆史上之最,"",{},2026-08-06 00:53:19.909658,{}
80,Yahoo Finance 台灣,首度衝破9000億！鴻海7月營收9465億元 年增54%,"",{},2026-08-06 00:53:19.909658,{}
81,Yahoo Finance 台灣,全家上半年賺逾8億元！每股獲利3.69元創同期次高,"",{},2026-08-06 00:53:19.909658,{}
82,Yahoo Finance 台灣,英業達7月營收901億元 月減1成仍改寫歷史次高,"",{},2026-08-06 00:53:19.909658,{}
83,Yahoo Finance 台灣,研華法說》在手訂單強勁！第三季營收可望再攀峰,"",{},2026-08-06 00:53:19.909658,{}
84,Yahoo Finance 台灣,法人千億銀彈進場 正2爆量跟台股一起飛7 小時前,"",{},2026-08-06 00:53:19.909658,{}
85,Yahoo Finance 台灣,兩大權值股咋選？杜金龍一句話點醒投資人：大跌買台積電，反彈換聯發科52 分鐘前,"",{},2026-08-06 00:53:19.909658,{}
86,Yahoo Finance 台灣,台股反彈碰壁？杜金龍揭「關鍵成交量」：沒過這數字就是盤整,"",{},2026-08-06 00:53:19.909658,{}
87,Yahoo Finance 台灣,主動ETF大舉買超122億！重押「這載板大廠」32億、加碼台積電27億　國巨上榜網驚：要回800了,"",{},2026-08-06 00:53:19.909658,{etf}
88,Yahoo Finance 台灣,台股又要崩盤？專家急揭「2大警訊」：人氣股已開始軟腳,"",{},2026-08-06 00:53:19.909658,{}
89,Yahoo Finance 台灣,杜金龍公開6檔逢低買進私房名單！曝台積電守住「這價位」才有戲,"",{},2026-08-06 00:53:19.909658,{}
90,Yahoo Finance 台灣,美股早盤輝達奮起！台積電ADR勁揚2%,"",{},2026-08-06 00:53:19.909658,{adr}
