model,desc,paper,n,acc,auc,mcc,f1,conf_acc,conf_cov,ls_mean,ls_t,ls_win,folds_auc_gt_half,sec
ensemble_top3,前三名機率平均（ding_cnn + fused_lgbm + transformer_L20）,集成,24239,0.5390486406204876,0.532710006665639,0.04430692252586605,0.446175197732933,0.5857716580608147,0.07190890713313255,0.00510762709786495,6.24545376051017,0.6077348066298343,9/9,0.0
ding_cnn,事件向量 短／中／長期 CNN,Ding et al. 2015 IJCAI,24239,0.537398407525063,0.5278097959813469,0.03704747662027595,0.41346411251757575,0.5730337078651685,0.014687074549280086,0.004069769570775118,4.8363833582387885,0.565377532228361,9/9,58.10000000000001
fused_lgbm,向量 PCA32 + 情緒 + 注意力 + 價格 → LightGBM,特徵融合,24239,0.5373571516976773,0.527120440571575,0.047107203956744156,0.49066452526120163,0.5549580554958056,0.1917983415157391,0.004402299883564739,5.890520717105495,0.6114180478821363,9/9,6.4
transformer_L20,Transformer，回看 20 日,變體,24239,0.5328190106852593,0.5264662518562422,0.030651320557198353,0.46375121684490805,0.5656170995173523,0.17950410495482486,0.003504156956292958,4.248037377885902,0.585635359116022,8/9,56.900000000000006
gru_price_L20,純價格 GRU，回看 20 日,基準變體,24239,0.5370271050785923,0.5256827699018329,0.036797035113732654,0.43095665352091256,0.5835866261398176,0.027146334419736788,0.0034177392435304453,3.948170260833514,0.567219152854512,9/9,11.4
han_L5,HAN，回看 5 日,Hu et al. 2018 變體,24239,0.5386773381740171,0.5256463451784688,0.0429995573684058,0.4436643859685191,0.5805038335158818,0.037666570403069435,0.0027152809058836463,3.112281157982493,0.5524861878453039,9/9,138.7
attn_logreg,異常注意力 + 則數 + 價格 → Logistic,"Da, Engelberg & Gao 2011",24239,0.5357481744296382,0.5251520389490131,0.03247041242152657,0.42880885191244883,0.5821114369501467,0.028136474276991626,0.004052832192456543,4.785982630992549,0.565377532228361,8/9,0.0
transformer,Transformer encoder 時序融合（10 日）,Sawhney 2020 / 時序 Transformer,24239,0.5347992903997689,0.5249301814457854,0.036944582798848345,0.4710125139110378,0.5578627500633072,0.16291926234580634,0.0034711012919212245,4.133446676344696,0.5616942909760589,8/9,34.1
et_fused,全部特徵 → ExtraTrees,樹融合,24239,0.5389248731383308,0.5249196488720937,0.04647547279750218,0.38965734734635304,0.5508021390374331,0.007714839721110607,0.0035048333033809685,4.715695734469732,0.58195211786372,9/9,114.5
stocknet_lite,StockNet-lite：文字+價格 bi-GRU + 時間注意力,Xu & Cohen 2018（去 VAE）,24239,0.5362845001856512,0.5243085339732216,0.03555345945112502,0.44041025063646,0.5714285714285714,0.03869796608770989,0.002772460629179741,3.2610372850185763,0.5524861878453039,8/9,30.9
gru_price,純價格 GRU（10 日）,基準,24239,0.5375221750072198,0.5242883063722693,0.03831557294224078,0.4298620985646062,0.5924713584288053,0.025207310532612732,0.0029003636440938876,3.2853275084606683,0.5598526703499079,9/9,11.1
rf_fused,全部特徵 → Random Forest,樹融合（M3 風格）,24239,0.5393374314121869,0.5240738705559889,0.04671322007692691,0.3972366071372895,0.5604651162790698,0.017740005775815835,0.004014072974037419,5.497736820873852,0.58195211786372,9/9,574.0
dict_xgb,字典情緒 + 價格 → XGBoost,Tetlock 2007 字典情緒；現有 M2,24239,0.5324064524114032,0.5239645075034178,0.03608019415934228,0.4877739158803809,0.5583159491750427,0.21754197780436488,0.004425900152321388,5.867658832193784,0.5948434622467772,8/9,2.1999999999999997
sentzh_xgb,中文財經情緒模型分數 + 價格 → XGBoost,FinBERT 路線（Araci 2019；FinBERT-LSTM 2024）,24239,0.5340566855068278,0.523925966693356,0.039550896562170056,0.4881232556791516,0.5602661596958175,0.21700565204835182,0.004580800258240677,6.051652002269326,0.5893186003683242,9/9,2.3999999999999995
price_logreg,純價格 Logistic,基準（動能／波動／量比）,24239,0.5357481744296382,0.5235930813003654,0.031830626143381884,0.42322836922155815,0.5766062602965404,0.02504228722307026,0.004213186506425757,4.731237759042089,0.5616942909760589,8/9,0.2
han,HAN：新聞層注意力 + 日層 bi-GRU 注意力,Hu et al. 2018 WSDM,24239,0.5356656627748669,0.5208988892889969,0.03150220529931874,0.42275971983293203,0.5208333333333334,0.013861958001567722,0.0013975345485716913,1.581948408181192,0.5359116022099447,8/9,84.4
emb_xgb,MiniLM 日向量 + 價格 + 字典 → XGBoost,BERT 向量 + 樹（arXiv 2107.08721 精神）,24239,0.528322125500227,0.5208234622503944,0.02668236835875965,0.4839447469525435,0.5451791124576725,0.23148644746070382,0.004151292914866734,5.694301415170956,0.5966850828729282,8/9,34.0
stocknet_L20,StockNet-lite，回看 20 日,Xu & Cohen 2018 變體,24239,0.5307149634885928,0.5194853023523474,0.022154659385021317,0.449706393285805,0.5729068673565381,0.04385494451091217,0.0024732421741110624,2.840352989277525,0.5469613259668509,8/9,71.3
lr_fused,全部特徵（向量+價格+字典+情緒）→ Logistic,線性融合,24239,0.5238664961425802,0.5166355249810769,0.02516361092106695,0.499521250943992,0.5427545691906005,0.25281571021906846,0.0029649434081356458,4.27216019371226,0.578268876611418,9/9,4.9
emb_logreg,MiniLM 日向量 mean/max + 價格 → Logistic,Sentence-BERT 2019,24239,0.5186270060646067,0.5118816080191357,0.019458316747116754,0.5032621490887654,0.5271677492525002,0.4001402698131111,0.0020805858505835236,3.21317665593175,0.5414364640883977,7/9,12.3
