model,desc,paper,n,acc,auc,mcc,f1,conf_acc,conf_cov,ls_mean,ls_t,ls_win,folds_auc_gt_half,sec
ensemble_top3,前三名機率平均（sentzh_xgb + dict_xgb + transformer）,集成,24032,0.5317909454061251,0.5312648072071592,0.041320080051935944,0.48177423283083565,0.5665471419531745,0.19727862849533956,0.010836037060459238,5.577263976923599,0.5936920222634509,9/9,0.0
sentzh_xgb,中文財經情緒模型分數 + 價格 → XGBoost,FinBERT 路線（Araci 2019；FinBERT-LSTM 2024）,24032,0.5265479360852197,0.5269948555611068,0.030579412107050178,0.48473353955491993,0.5562214611872146,0.29161118508655126,0.008415898079992384,4.308177901805878,0.5899814471243042,8/9,3.5
dict_xgb,字典情緒 + 價格 → XGBoost,Tetlock 2007 字典情緒；現有 M2,24032,0.5310003328894807,0.5262852624562494,0.04086051389253688,0.48887751189532347,0.5489355622231747,0.29123668442077233,0.008228730486575674,4.382074844403423,0.5807050092764379,8/9,2.6
transformer,Transformer encoder 時序融合（10 日）,Sawhney 2020 / 時序 Transformer,24032,0.5293358854860186,0.5261561584022709,0.03958630784246027,0.4979916921641948,0.5471576227390181,0.19324234354194408,0.010261517950353002,5.073956494422224,0.601113172541744,7/9,40.3
attn_logreg,異常注意力 + 則數 + 價格 → Logistic,"Da, Engelberg & Gao 2011",24032,0.5316661118508655,0.5260675912155907,0.03651473030849357,0.4380456767663873,0.550332383665717,0.08763315579227697,0.00734349666774646,3.55485806256944,0.5974025974025974,7/9,0.0
gru_price_L20,純價格 GRU，回看 20 日,基準變體,24032,0.5326231691078562,0.525574971397792,0.04119063788908479,0.46532545116262247,0.5613979848866498,0.1321571238348868,0.009424144374665783,4.140804916102876,0.5769944341372912,7/9,13.0
transformer_L20,Transformer，回看 20 日,變體,24032,0.5249667110519307,0.5239907243702757,0.03051855308019457,0.4956074403705749,0.5564360262852726,0.21529627163781626,0.009560551798394113,4.928423621225961,0.5899814471243042,7/9,56.400000000000006
stocknet_lite,StockNet-lite：文字+價格 bi-GRU + 時間注意力,Xu & Cohen 2018（去 VAE）,24032,0.5264647137150466,0.5229864733119906,0.032135113134893416,0.4913535397189447,0.5525035765379113,0.14543109187749667,0.009029151105383215,4.734853746096955,0.5732838589981447,7/9,35.6
price_logreg,純價格 Logistic,基準（動能／波動／量比）,24032,0.5315412782956058,0.5221107950295704,0.035794809106430035,0.43012594332800896,0.5456,0.07802097203728363,0.006893761483681575,3.2833622182867255,0.5584415584415584,7/9,0.0
gru_price,純價格 GRU（10 日）,基準,24032,0.5309171105193076,0.521795691549789,0.0378383188079069,0.4722103536827238,0.5402261712439418,0.12878661784287618,0.008863633077846066,3.899493486994866,0.5602968460111317,7/9,14.599999999999998
fused_lgbm,向量 PCA32 + 情緒 + 注意力 + 價格 → LightGBM,特徵融合,24032,0.5270888814913449,0.5210434364651796,0.03182321777739494,0.48522924014200747,0.547324414715719,0.24883488681757657,0.007858344369298024,4.383822849535498,0.6103896103896104,7/9,9.6
han_L5,HAN，回看 5 日,Hu et al. 2018 變體,24032,0.5270888814913449,0.5210100735886163,0.02624650557948623,0.4576512844548656,0.5528225806451613,0.10319573901464714,0.007625464014820611,3.833912875760299,0.5862708719851577,8/9,121.0
ding_cnn,事件向量 短／中／長期 CNN,Ding et al. 2015 IJCAI,24032,0.5250499334221038,0.520683233376655,0.01675236502112868,0.4343320345892406,0.5216392186901571,0.10864680426098536,0.006010135544876007,3.0561281747128435,0.5602968460111317,6/9,72.7
stocknet_L20,StockNet-lite，回看 20 日,Xu & Cohen 2018 變體,24032,0.5212633155792277,0.5186617826582212,0.021406276210313827,0.4890862514645582,0.5588491717523976,0.1431840878828229,0.007129861513067492,3.4857579234418985,0.5454545454545454,8/9,63.199999999999996
han,HAN：新聞層注意力 + 日層 bi-GRU 注意力,Hu et al. 2018 WSDM,24032,0.5233022636484687,0.5178213909652719,0.02134435744915061,0.4751084737264053,0.546890756302521,0.12379327563249001,0.008095576191082407,4.304863157825623,0.5695732838589982,8/9,163.0
lr_fused,全部特徵（向量+價格+字典+情緒）→ Logistic,線性融合,24032,0.5205143142476698,0.514809037117103,0.02318099823633731,0.49751924010173826,0.530508964719491,0.28778295605858856,0.0032471043477302628,1.8952378924333402,0.536178107606679,6/9,6.8
emb_xgb,MiniLM 日向量 + 價格 + 字典 → XGBoost,BERT 向量 + 樹（arXiv 2107.08721 精神）,24032,0.5220539280958721,0.5136687892789882,0.02134275392649154,0.4841542487446964,0.5267258843696432,0.2670189747003995,0.004709103339333917,2.602020946878341,0.5565862708719852,6/9,49.6
tfidf_logreg,TF-IDF(jieba 1-2gram) + Logistic,Schumaker & Chen 2009 AZFinText,24032,0.5165196404793608,0.5127015644855651,-0.003373457356715477,0.4413575728550779,0.5476086002632734,0.09483189081225034,0.0014646986023652976,0.9421577807810932,0.5083487940630798,6/9,79.39999999999999
