model,desc,paper,n,acc,auc,mcc,f1,conf_acc,conf_cov,ls_mean,ls_t,ls_win,folds_auc_gt_half,sec
et_fused,全部特徵 → ExtraTrees,樹融合,24032,0.5292526631158455,0.5119415242667702,0.02667864933260799,0.3919758679330173,0.549079754601227,0.013565246338215712,0.005596725190618628,2.814371375876745,0.5454545454545454,6/9,115.9
tfidf_nb,TF-IDF + Naive Bayes,文字分類基線,24032,0.5142310252996005,0.5115367910440817,0.010632285070118465,0.4931421732341005,0.5234752084247477,0.47415945406125165,0.001513774273574615,0.9563269632069522,0.5027829313543599,6/9,49.8
tfidf_svm,TF-IDF + LinearSVC,Schumaker & Chen 2009（SVR→SVC）,24032,0.5181008655126498,0.5110354659045152,0.015726428102129805,0.48947110829734297,0.5335961297258556,0.2322320239680426,0.00204864464044528,1.3536435306243302,0.5157699443413729,6/9,53.300000000000004
emb_logreg,MiniLM 日向量 mean/max + 價格 → Logistic,Sentence-BERT 2019,24032,0.5167276964047937,0.5109568089644744,0.018537885045587076,0.5009428827740267,0.523338185346919,0.4288032623169108,0.0011520186369533164,0.7076633026325896,0.5269016697588126,6/9,14.7
rf_fused,全部特徵 → Random Forest,樹融合（M3 風格）,24032,0.5287117177097204,0.510679561654582,0.025054536610858876,0.4094419841600018,0.5522875816993464,0.025466045272969372,0.003639854753997969,1.8457615513559487,0.5510204081632653,6/9,575.6
emb_only_xgb,只用 MiniLM 日向量（無價格）→ XGBoost,消融：文字向量本身,24032,0.5179760319573902,0.50429601205286,0.0046499627623880135,0.45657630527380044,0.5288888888888889,0.19661284953395472,0.0007766095979306371,0.4761450632080716,0.5102040816326531,5/9,36.800000000000004
majority,多數類,基準,24032,0.5260486018641811,0.5023343908892958,0.0,0.34471287560669683,,0.0,-0.00140773057205045,-1.053357742959445,0.46567717996289426,0/9,0.5
persist,昨日超額報酬延續,基準,24032,0.5023718375499334,0.5022370003190446,0.004467990400629151,0.5019600810933994,0.5023718375499334,1.0,0.0013399611993782277,0.8513893253633679,0.5287569573283859,5/9,0.0
news_only_xgb,只用新聞統計（無價格、無向量）→ XGBoost,消融：新聞本身,24032,0.5177679760319573,0.5020006822583251,-0.002012680124618848,0.43603009960316064,0.5208121827411167,0.163948069241012,0.0007777689759846331,0.5647985398495672,0.5102040816326531,6/9,2.1
mlp_fused,多模態 MLP,多模態融合,24032,0.5172270306258322,0.500821435828757,-0.002701337496462794,0.4381053447443002,0.5204034846400734,0.09075399467376831,-0.0008171521020694976,-0.5165840695478249,0.48608534322820035,4/9,11.200000000000001
