stock_id,revenue_month,t0,src,timed,after_close,sue,surprise,yoy,mom_sa,pre_car,ar0,abs_ar0,ar_m1,ar_p1,base_stock,car_1_1,car_1_5,car_1_10,car_1_20,car_1_40,car_1_60,car_0_1,mom60,abn_vol,locked,precise,q_all,q
2303,2023-08-01,2023-09-07,news_item,True,True,-0.20285678205686947,-0.017916585506866284,-0.2641216442673979,0.0003482972082089475,0.06701298087002436,-0.008112840889728105,0.008112840889728105,0.00521324319118894,0.0006405434608873879,0.01707022004317954,0.0006405434608873879,0.03137516456607668,0.011544144212300093,0.007932234334325754,0.11629835026933849,0.0551882703492958,-0.007472297428840717,-0.07939939598915169,-0.07654576826382674,False,True,2,2
2303,2023-10-01,2023-11-07,news_item,True,True,-0.0862172988674092,-0.007267721789600501,-0.2803695429993134,0.010344334886820405,-0.0073521788985584716,0.006850172258151702,0.006850172258151702,-0.008202674903110298,-0.020657935266065006,0.01707022004317954,-0.020657935266065006,-0.029115014344632616,-0.03346162966971576,-0.061110079920042706,-0.0908398638046855,-0.1300983557639111,-0.013807763007913303,0.06261880538672582,-0.5273756470927039,False,True,2,2
2303,2023-11-01,2023-12-07,news_item,True,True,0.49586307371065474,0.040566755389008335,-0.23783493299527336,0.04253461000404002,-0.03779878244177547,-0.003616097476786093,0.003616097476786093,-0.00915123021074575,-0.006290227887891405,0.01707022004317954,-0.006290227887891405,-0.002723626023789007,-0.03079368625875565,-0.012840250980530092,-0.06852701941424774,-0.025770354855985098,-0.009906325364677497,0.13926246165208678,-0.43408707064543817,False,True,4,4
2303,2023-12-01,2024-01-08,news_item,True,True,1.051770403294011,0.08730733798641194,-0.1823321133071616,0.05550281968811177,0.01795343527822555,-0.0062768527522913,0.0062768527522913,-0.003329710825310253,0.0038263160851162627,0.01707022004317954,0.0038263160851162627,0.024743628125515157,-0.017603460004569887,-0.058712645890959446,-0.007541936455617661,-0.04216364729706147,-0.002450536667175037,0.0789458891947925,0.11918808785470866,False,True,5,5
2303,2024-03-01,2024-04-10,news_item,True,True,1.78473254156788,0.17096955145446202,0.030261383632435468,0.06009624356957488,0.007399148850103732,0.0178261874677536,0.0178261874677536,0.0019733145730549935,-0.007419357299587928,0.01707022004317954,-0.007419357299587928,-0.01720213471062098,-0.0060633254218722486,0.029320938133645655,0.03710972315239654,0.010323269356751354,0.010406830168165671,0.034955403189050216,0.15202856080931132,False,True,5,5
2303,2024-04-01,2024-05-09,news_item,True,False,0.9343646763044555,0.09652313910548571,0.026679470263324845,-0.003581913369110623,0.03066729302519449,0.010101814479196754,0.010101814479196754,-0.0021271504941764233,0.0029678925081973845,0.01707022004317954,0.0029678925081973845,-0.017643801012941468,0.037607271210313625,0.007788785018750889,-0.018997668776894298,0.13160294584288698,0.013069706987394139,-0.042216635782513556,-0.8436883015026047,False,True,5,4
2303,2024-05-01,2024-06-07,news_item,True,True,0.5453679391468195,0.05799815039688857,0.06703348171642887,0.04035401145310402,-0.029818486191562733,0.01815821877825307,0.01815821877825307,0.0043869095253670325,0.011694342589525085,0.01707022004317954,0.011694342589525085,0.012462506840070805,-0.0066439766325344,-0.02866693787285632,0.08121869551957467,0.07159184243471284,0.029852561367778155,0.15103162332443487,-0.10319910144116157,False,True,4,4
2303,2024-06-01,2024-07-08,news_item,True,True,-0.029292153940861168,-0.003135929070096445,0.038188849467299946,-0.02884463224912892,-0.045729763175658064,0.01627773470104192,0.01627773470104192,-0.02289858131814651,0.015191993859461043,0.01707022004317954,0.015191993859461043,-0.03586001169441234,-0.03991145362259971,0.10988563339243101,0.10025878030756916,0.07241973535895967,0.031469728560502966,0.10786716198284418,0.49909334636115954,False,True,3,3
2303,2024-07-01,2024-08-09,news_item,True,True,-1.1876917827343871,-0.12641115979128514,-0.08244389264226726,-0.1206327421095672,0.1449577114899676,-0.007056727114277586,0.007056727114277586,0.011981462229485776,-0.008151824804516018,0.01707022004317954,-0.008151824804516018,-0.02601628509056494,-0.03390216016885325,0.006377308901617327,-0.055458281974648624,-0.1967212341290936,-0.015208551918793604,0.0840273764687538,0.06332374452696471,False,True,1,1
2303,2024-09-01,2024-10-09,news_item,True,True,0.6336116244134546,0.0697379599913847,0.0855870400937242,-0.0062152433882616265,-0.009745649180939661,-0.016648399351284756,0.016648399351284756,0.003580750525315632,-0.010725729213983567,0.01707022004317954,-0.010725729213983567,-0.037852131292428315,-0.06135604606765728,-0.14126295215444498,-0.17691632567778723,-0.12599574475830064,-0.027374128565268323,0.007153804321643253,0.06669010689945883,False,True,4,4
2303,2024-10-01,2024-11-08,news_item,True,True,-0.3352463193672567,-0.037450420273934526,-0.005801943296120271,-0.09138898338984447,-0.0695724718573282,0.001522860011476385,0.001522860011476385,0.0008976548216757183,0.005840767437999142,0.01707022004317954,0.005840767437999142,-0.0013347761189622925,-0.022625962750090857,-0.03565337352334221,0.015267207396144344,-0.017980339590611127,0.007363627449475527,-0.021676398362131977,0.34542298313792846,False,True,2,2
2303,2024-11-01,2024-12-10,news_item,True,True,0.4508103065619116,0.05038289242843419,0.1075786858549641,0.11338062915108438,0.0054638061804749075,-0.0002985246464906688,0.0002985246464906688,0.01997821869106535,-0.010686452672369203,0.01707022004317954,-0.010686452672369203,0.005797517320613139,0.03140658336347915,0.01383494324067035,-0.0032545935366088685,0.07070112118418542,-0.010984977318859872,-0.20471373814279792,-0.7500687405129824,False,True,4,4
2303,2024-12-01,2025-01-10,news_item,True,False,0.022538608676828758,0.0025329570901260964,0.06498755130764877,-0.042591134547315335,-0.007569268090387764,-0.0016177335740377692,0.0016177335740377692,0.007739664619567259,0.020121593118594485,0.01707022004317954,0.020121593118594485,0.001162719240682706,0.005776327520221943,-0.03240505212820906,0.05829861141784314,0.24588359847063035,0.018503859544556717,-0.22018832977376057,-0.4832205451431328,False,True,3,3
2303,2025-06-01,2025-07-07,cnyes_list,False,,-0.7995710830431126,-0.05689797432792313,-0.0015095845359702764,-0.03699646080469776,-0.057345662382883536,-0.0020841557070308096,0.0020841557070308096,0.0010791868041526431,0.017717266271231838,0.01707022004317954,0.017717266271231838,-0.0020723016951855015,-0.0263878390163678,-0.07728880687719797,-0.13156905546670328,-0.1229379502822295,0.01563311056420103,0.06055814206957866,-0.5573543922495283,False,True,1,1
2303,2025-08-01,2025-09-05,news_item,True,True,-1.0846020017570661,-0.07656600679478132,-0.041867000644838726,-0.11198672736190929,0.004594557326431735,-0.037410554090963846,0.037410554090963846,0.017549804052738628,0.0012230954482431427,0.01707022004317954,0.0012230954482431427,-0.02974316937916146,-0.03825587865282274,-0.05894359857038321,-0.05034635806012651,0.006108158491708978,-0.0361874586427207,-0.06514808916368908,-0.06855799073813457,False,True,1,1
2303,2025-10-01,2025-11-07,cnyes_list,False,,0.8745123992875761,0.06614140333796452,0.050665005959572795,0.1253469241669798,-0.0049413865467428375,-0.004647330052568415,0.004647330052568415,-0.044242893227466856,-0.00376125874392208,0.01707022004317954,-0.00376125874392208,-0.006209994591383505,0.06534691911624368,0.0718570476625757,-0.067523167746847,0.03930684280695755,-0.008408588796490495,0.044950899661507115,-0.5051176300403626,False,True,4,4
2303,2025-11-01,2025-12-09,news_item,True,False,0.2420917325207294,0.01839237677125875,-0.003568927526298893,-0.05423393348587169,-0.03380923316549707,-0.0024231633228733295,0.0024231633228733295,-0.011483860341039261,0.001745809362091919,0.01707022004317954,0.001745809362091919,0.013471062538086678,0.016535261821027658,-0.0640438648214775,-0.005705725447252549,-0.11451747444745367,-0.0006773539607814105,0.10763260091530658,-0.0440575535542825,False,True,3,3
2303,2026-03-01,2026-04-22,finmind,False,,0.2879869211746184,0.019446257549899336,0.06137528953735227,0.009463837848269208,0.15818399402168543,0.023723722293276843,0.023723722293276843,-0.03754633105494154,-0.018773732829603235,0.01707022004317954,-0.018773732829603235,-0.02995387408754558,0.14611190816069472,0.2872541072690624,0.27711573910017273,0.35989331261957747,0.004949989463673608,0.16060278749884782,1.1718816320291827,False,True,3,3
2303,2026-04-01,2026-04-22,finmind,False,,0.07734731156197018,0.00453335313005946,0.04778477822168625,-0.01359051131566602,0.15818399402168543,0.023723722293276843,0.023723722293276843,-0.03754633105494154,-0.018773732829603235,0.01707022004317954,-0.018773732829603235,-0.02995387408754558,0.14611190816069472,0.2872541072690624,0.27711573910017273,0.35989331261957747,0.004949989463673608,0.16060278749884782,1.1718816320291827,False,True,3,3
2303,2026-05-01,2026-06-08,news_item,True,True,0.8822911180608194,0.04888045543626399,0.10257096191897119,0.05478618369728494,0.01572160951554144,-0.0191609726633427,0.0191609726633427,0.08790768707806051,0.021314255376320732,0.01707022004317954,0.021314255376320732,0.09986880281384442,0.23970282561734438,0.19845299099508773,0.05330716353799386,0.051812538499857126,0.0021532827129780337,0.578879304829182,0.23617632098496358,False,True,4,4
2303,2026-06-01,2026-06-08,finmind,False,,1.6911692812871144,0.09307755200644863,0.16365456189911853,0.06108359998014734,0.01572160951554144,-0.0191609726633427,0.0191609726633427,0.08790768707806051,0.021314255376320732,0.01707022004317954,0.021314255376320732,0.09986880281384442,0.23970282561734438,0.19845299099508773,0.05330716353799386,0.051812538499857126,0.0021532827129780337,0.578879304829182,0.23617632098496358,False,True,5,5
2312,2025-01-01,2025-02-11,cnyes_item,True,True,0.34634051936306476,0.05002727617385479,0.1607703364895059,0.12527998612321412,0.02246470030632314,0.02509434573097879,0.02509434573097879,0.013289363026975223,0.024595178562460834,0.014989620827766862,0.024595178562460834,-0.05528157584155032,-0.05045602386697813,-0.0712087462335778,-0.10933128264974382,-0.16814579734546845,0.04968952429343962,-0.0321310921890694,0.39974126378070574,False,True,4,4
2312,2025-02-01,2025-03-11,cnyes_item,True,True,1.6471032377004307,0.2097137912365265,0.30846097890021795,0.14769064241071206,-0.007376258959241837,-0.009496849544698474,0.009496849544698474,-0.008805293099222908,-0.025049032233425635,0.014989620827766862,-0.025049032233425635,-0.0645479899044198,-0.0564748091702586,-0.10184392319269632,-0.1090809936661895,-0.09501767946791628,-0.03454588177812411,-0.06662979891547449,-0.1091654413524907,False,True,5,5
2312,2025-09-01,2025-10-14,cnyes_list,False,,-0.6031078578637694,-0.08833210543918449,-0.22517649372595372,0.013795618584662606,0.07406267799119612,0.017776367847903162,0.017776367847903162,0.11561795075985692,0.0055894050930951344,0.014989620827766862,0.0055894050930951344,-0.05416121516894587,-0.018377976489489696,-0.04562336179407346,-0.0779173716610014,-0.16804817074878045,0.023365772940998297,0.012546421883387726,2.7220171811506284,False,True,2,1
2312,2026-03-01,2026-04-22,finmind,False,,-0.8952283739956621,-0.12863667446413868,-0.2154496535889905,-0.0754404811884406,0.11491238146121519,0.09042060392148721,0.09042060392148721,0.07088637636257761,-0.05496886217796963,0.014989620827766862,-0.05496886217796963,-0.020495987160759552,-0.1149357946819064,-0.11093685810052697,-0.18545046071726787,-0.15752885797160013,0.035451741743517576,-0.03850643076521676,2.102120145247134,True,True,1,1
2312,2026-04-01,2026-05-12,news_item,True,True,-0.22264255818185075,-0.03247914939028007,-0.14008064283128263,0.07536901075770785,0.023132196970188028,-0.03317875234194276,0.03317875234194276,0.040663085298881546,-0.0166586942904327,0.014989620827766862,-0.0166586942904327,-0.03804590667764131,0.17163852330195095,0.057675542066263824,-0.05028508711105917,-0.020746211360220056,-0.04983744663237546,-0.2555622455248092,0.31168523571391155,False,True,2,2
2312,2026-05-01,2026-06-10,news_item,True,True,0.8974726616744545,0.1296928383545186,-0.03548698458575572,0.10459365824552691,-0.11396298123568714,-0.015311429281266005,0.015311429281266005,0.01846167503413572,-0.014071357130236743,0.014989620827766862,-0.014071357130236743,-0.10969235503697453,-0.08194826569543623,-0.10122230581400068,-0.06433053792337898,-0.07942165539962537,-0.02938278641150275,0.46005241730918245,0.05337374510930256,False,True,4,4
2313,2023-08-01,2023-09-07,news_item,True,True,0.19348261298410985,0.028807492271495733,-0.13302442104972556,0.1482484521940144,0.1456227417596217,-0.020378019514162102,0.020378019514162102,0.09526604728900312,0.0028590900803324715,0.01990168290608096,0.0028590900803324715,0.03744101244164717,0.14861453640671282,0.08310324609215139,0.14969226567953017,0.38502478108130866,-0.01751892943382963,-0.01824574558898373,2.193634444809438,False,True,3,3
2313,2023-09-01,2023-10-06,news_item,True,True,0.4001606614558752,0.058370625681885,-0.10673145597175449,0.026292965077971076,-0.062194881589132986,-0.014643697205862762,0.014643697205862762,-0.0012345019879249318,0.012995852548074576,0.01990168290608096,0.012995852548074576,0.04602613747219105,0.04454510693211244,0.06658901958737883,0.30192153498915725,0.1996672002609115,-0.0016478446577881858,0.24954898336495024,-1.3291816255692366,False,True,4,4
2313,2024-04-01,2024-05-07,cnyes_item,True,True,0.7118477851079335,0.10056187743840421,0.17457602248442328,0.0995697073339592,-0.004791217457370097,0.018369901779620695,0.018369901779620695,-0.01730862117155568,-0.001532403953507136,0.01990168290608096,-0.001532403953507136,-0.1104155905711581,-0.012127890806198548,-0.1093756576835885,-0.04161757161568611,-0.06136681665470109,0.01683749782611356,0.13635087051544748,-0.20823008801268356,False,True,4,4
2313,2024-05-01,2024-06-07,news_item,True,True,0.6957582095541233,0.09917077478620939,0.23700685881873795,0.06243083633431468,-0.07509000687735018,0.00532272388518008,0.00532272388518008,-0.0018288893279538119,0.007277707410104811,0.01990168290608096,0.007277707410104811,-0.01312730302228808,0.05829325140299241,0.1106234380509147,0.04571186201142163,0.07570366434869782,0.01260043129528489,-0.0025547947125694748,0.864457084881054,False,True,4,4
2313,2024-07-01,2024-08-06,cnyes_list,False,,-0.225144693005728,-0.0320229749934704,0.16701329280770238,-0.018512629292654736,-0.03886549631324926,-0.01379337251254447,0.01379337251254447,-0.01595250692080777,0.02557325023182959,0.01990168290608096,0.02557325023182959,0.018317259155017775,0.023338649469259995,0.07046401722605766,-0.04596653610144006,-0.12425180242366364,0.011779877719285119,0.14925114529760908,-0.3064750482451172,False,True,2,2
2313,2025-01-01,2025-02-06,cnyes_list,False,,1.2612181865128558,0.17019693791719942,0.09654549010513946,0.12608755869881705,0.019589094164031682,-0.012934533811823148,0.012934533811823148,0.01011117512715353,0.010246005044751155,0.01990168290608096,0.010246005044751155,-0.051863281104259945,-0.06587055997844848,-0.07136694785668607,-0.1158389613556012,-0.04370102716991843,-0.0026885287670719935,0.03653360440054687,-1.312828619810589,False,True,5,5
2313,2025-04-01,2025-05-06,cnyes_list,False,,0.6492419646665165,0.07043156810150582,0.134714322826337,-0.05237904901938606,0.06722391733262342,0.026939348233856696,0.026939348233856696,0.037660207141628786,-0.023370721912215738,0.01990168290608096,-0.023370721912215738,0.005768184571250692,-0.014050464221048473,0.023382044034206493,-0.023667687827782884,0.060974331605673275,0.0035686263216409587,-0.26949166512389056,0.5522665436515297,False,True,4,4
2313,2025-06-01,2025-07-07,cnyes_list,False,,-0.8987144302770615,-0.09404762073260287,0.047973794629175615,-0.056282756784099774,0.053616760030936364,0.008680102633227493,0.008680102633227493,0.005895354171904149,0.020549108309038607,0.01990168290608096,0.020549108309038607,0.040110459159513195,0.041129950901897416,0.08309755879516675,0.19801901824679388,0.05649840324615342,0.0292292109422661,-0.1446136847941193,-0.022855948551529805,False,True,1,1
2313,2025-08-01,2025-09-08,news_item,True,True,-1.8652106926535743,-0.18894395255010582,-0.11448912443701786,-0.18562326273383079,-0.01291800077766645,-0.014411431276063197,0.014411431276063197,-0.014541318583854788,0.03161693598114008,0.01990168290608096,0.03161693598114008,-0.019748873429758257,-0.03650227742831401,-0.010344636509980777,-0.04156399266229541,-0.04029284015184877,0.017205504705076882,0.23146178011704688,-0.688360314158633,False,True,1,1
2313,2025-09-01,2025-10-07,news_item,True,True,-0.6084603385097034,-0.06692335367376974,-0.06538375084411285,0.04910537359290501,-0.024745873100143707,0.03372022616320271,0.03372022616320271,0.03599195259389179,0.04178372600402452,0.01990168290608096,0.04178372600402452,0.0959092309576661,0.09935819626082285,0.005601006143499149,0.019257057377064797,0.02538942246029528,0.07550395216722722,0.2876829584421037,0.6738513868770346,False,True,2,1
2313,2025-10-01,2025-11-06,news_item,True,True,1.661988312945598,0.18394918046383543,0.14770293480239616,0.213086685646509,-0.05923123440558371,-0.027443222090220057,0.027443222090220057,-0.008452070884572267,0.004963363708210771,0.01990168290608096,0.004963363708210771,0.022619079657759465,-0.00369148020175028,0.013656051233565645,0.019788416316796106,0.5092785086658823,-0.022479858382009284,0.35009396478064847,-0.743822425994963,False,True,5,5
2313,2025-12-01,2026-01-15,news_item,True,True,-0.4764566918088587,-0.05497708269402679,-0.00799428821806103,-0.06662348768767501,0.14889093573071713,0.05506312260928002,0.05506312260928002,-0.03486027942535943,-0.015119219142935639,0.01990168290608096,-0.015119219142935639,0.049990195194990594,0.18224051173192074,0.3082096183647782,0.34413994164645745,0.3244948911279782,0.03994390346634438,0.29862599489469766,1.0313946766218114,False,True,2,2
